event_id,white_elo,black_elo,result,num_moves,white_castled,black_castled,white_castle_side,black_castle_side,num_captures,termination,moves_san
13,2047,2186,0-1,39,True,True,kingside,kingside,21,resignation,e4 e6 d4 d5 Nd2 c5 c3 cxd4 cxd4 dxe4 Nxe4 Bb4+ Nc3 Nf6 Nf3 O-O Bd3 b6 O-O Bb7 Bg5 Be7 Qe2 Nc6 Rad1 Nb4 Bb1 Ba6 Nb5 Qd5 a4 Qb3 Bxf6 Bxf6 Qe4 g6 Rfe1 Qxa4 Nc7 Rac8 Nxa6 Qxa6 h4 Qb5 Ne5 Bxe5 dxe5 Rc4 Qe2 Qc5 h5 Rh4 hxg6 hxg6 g3 Rh6 Kg2 Kg7 Qf3 Nd5 Be4 Rfh8 Rh1 Rxh1 Rxh1 Rxh1 Kxh1 Qd4 Bxd5 Qxd5 Qxd5 exd5 Kg2 a5 Kf3 b5 Ke3 a4
14,2357,2110,1-0,31,True,True,kingside,kingside,14,resignation,d4 d5 c4 c6 Nf3 Nf6 Nc3 e6 e3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 Bb7 e4 a6 e5 Nd5 Nxd5 cxd5 Bd2 Be7 O-O Qb6 Qb3 O-O Bb4 Bxb4 Qxb4 f6 Rfe1 fxe5 Nxe5 Nxe5 Rxe5 Rf6 g3 Rc8 Rae1 a5 Qd2 b4 Qe3 Rc6 f4 g6 g4 Bc8 h4 Kg7 h5 a4 hxg6 hxg6 Rg5 a3 Qe5 Kf7 f5 axb2 fxg6+
15,1877,1851,1/2-1/2,70,True,True,kingside,kingside,27,draw,e4 e6 d3 d5 Nd2 Nf6 g3 c5 Bg2 Nc6 Ngf3 Be7 O-O O-O e5 Nd7 Re1 Qc7 Qe2 b5 h4 a5 Nf1 Ba6 Bf4 b4 Qd2 Nb6 Ne3 Rfd8 Ng4 c4 d4 c3 bxc3 bxc3 Qc1 Nc4 a3 Qb6 Bg5 Qb2 Bxe7 Qxc1 Rexc1 Nxe7 Bf1 Rdc8 Ne3 Nxe3 fxe3 Bxf1 Kxf1 Rab8 Ne1 Rb2 Rcb1 Rcb8 Rxb2 Rxb2 Ke2 Nf5 Kd3 Nxg3 Kxc3 Rb8 a4 Nf5 Ng2 f6 exf6 gxf6 Kd3 Ng3 Nf4 Kf7 h5 Ne4 h6 Rb4 Ra3 Nf2+ Ke2 Ng4 Rb3 Rxb3 cxb3 Nxh6 b4 Nf5 bxa5 Nd6 a6 Nc8 Kf3 Ke7 Kg4 Kd6 Kh5 e5 Nd3 exd4 exd4 Kc6 Kh6 Nb6 Nb4+ Kd6 a5 Nc8 Kxh7 f5 Nd3 Kc6 Kg6 Kb5 Kxf5 Kxa5 Ke5 Kxa6 Kxd5 Kb5 Ne5 Nb6+ Kd6 Nc8+ Kd7 Nb6+ Kc7 Nd5+ Kd6 Nc3 Ke6 Kb6 Kd7 Kb5 Kd6 Kb6 Nc4+ Kb5 Ne3
16,2406,2147,1/2-1/2,36,True,True,kingside,kingside,18,draw,d4 d5 c4 dxc4 e3 e5 Bxc4 exd4 exd4 Bd6 Nf3 Nf6 O-O O-O h3 h6 Qd3 Nc6 a3 a6 Nc3 b5 Ba2 Ne7 Rd1 Bf5 Qe2 Qb8 g4 Bh7 Ne5 c5 Bf4 Ng6 Nxg6 Bxg6 Bxd6 Qxd6 Qe5 Qxe5 dxe5 Ne4 Nd5 c4 f4 Bh7 b3 cxb3 Bxb3 Nc5 Ba2 Be4 Rd4 Bxd5 Bxd5 Rae8 Rf1 Ne6 Rd3 Rd8 Rff3 Nc5 Rd1 Rfe8 Rc3 Ne6 Rcd3 Kf8 Bxe6 Rxd3 Rxd3 Rxe6
17,2054,2099,1-0,31,True,True,kingside,kingside,12,resignation,e4 c5 Be2 e6 c3 Nc6 f4 d5 d3 Nf6 e5 Nd7 Nf3 Be7 O-O O-O d4 c4 Qe1 b5 Qg3 Kh8 Ng5 Bxg5 fxg5 f6 g6 hxg6 Qh3+ Kg8 Qxe6+ Rf7 Qxc6 Nb6 Bf4 Rc7 Qd6 Rd7 Qa3 g5 Bg3 f5 Rxf5 Rb7 Rf2 Be6 Nd2 a5 Bh5 Nd7 Raf1 b4 cxb4 axb4 Qf3 Qe7 Bg4 Rxa2 Bxe6+ Qxe6 Nxc4 Rba7 Ne3
18,2250,2132,0-1,88,True,True,kingside,kingside,24,resignation,Nf3 Nf6 c4 d6 d4 g6 Nc3 Bg7 e4 O-O Be2 e5 O-O Nbd7 Re1 c6 Rb1 Re8 Bf1 a5 b3 Qb6 d5 c5 g3 Nf8 Nh4 h6 Bd3 Qd8 Ng2 Nh5 Be2 Nf6 Bd3 N8h7 f3 Nh5 Be3 f5 Qd2 Ng5 Nh4 f4 Bf2 Nh3+ Kh1 Nxf2+ Qxf2 fxg3 hxg3 Qg5 Kh2 Rf8 Qg2 Nf4 Qf1 Nh3 Qg2 Qh5 Be2 Nf4 gxf4 Qxh4+ Kg1 exf4 Nb5 Kh7 Qh2 Qxh2+ Kxh2 Be5 a4 Bd7 Rg1 h5 Rg2 Rg8 Rh1 Kh6 Kg1 g5 Nc7 Raf8 Ne6 Rf6 Rgh2 h4 Kf2 Kh5 Ke1 Bc3+ Kd1 Bd4 Bf1 Bxe6 dxe6 Rxe6 Bh3 Re5 Bg4+ Kg6 Kc2 Kf6 Kd3 Ra8 Ra2 Ra6 Rhh2 Rb6 Kc2 Re8 Rh1 Ke5 Rb1 Rh8 Bh3 g4 fxg4 f3 Kd3 Kf4 g5 Kg3 Bf5 h3 g6 h2 e5 h1=Q Rxh1 Rxb3+ Ke4 Bxe5 Rg1+ Kh4 Rg4+ Kh5 g7 Rg8 Rf2 Rc3 Kd5 Rxg7 Rxg7 Bxg7 Be4 Kg4 Kxd6 Bd4 Rf1 f2 Bxb7 Rxc4 Bc6 Kf4 Bb5 Rc2 Kd5 Ke3 Rh1 Rb2 Rh3+ Kd2 Rh1 Rb3 Bc4 Rg3 Rf1 Rg1 Kc6 Rxf1 Bxf1 Ke1 Bh3 c4
19,1860,2464,0-1,39,True,True,kingside,kingside,17,resignation,e4 g6 d4 Bg7 Nf3 d6 c3 Nf6 Nbd2 O-O Bd3 Nbd7 O-O e5 Nc4 exd4 cxd4 d5 e5 dxc4 exf6 Qxf6 Bxc4 Nb6 Bg5 Qd6 Rc1 Nxc4 Rxc4 Be6 Rc3 c6 a3 Rfe8 Qd2 Bd5 Bf4 Qd7 Rd1 Qf5 Bh6 Bh8 Qg5 Qxg5 Bxg5 Re6 Re3 Rae8 Rde1 Bxf3 gxf3 Bxd4 Rxe6 Rxe6 Rd1 c5 b4 f6 Bf4 Kf7 Bb8 a6 Ba7 b6 a4 Rd6 Kf1 cxb4 a5 Be5 Rc1 bxa5 Rc5 b3 Rc7+ Ke6 Rb7 a4
20,1942,1663,0-1,40,True,True,kingside,kingside,16,checkmate,d4 Nf6 Nf3 g6 c4 Bg7 Nc3 O-O e4 d6 Be2 Nbd7 O-O e5 d5 Nc5 Qc2 a5 Ne1 Qe7 f3 Nh5 Nd3 Nxd3 Bxd3 Nf4 Ne2 Nxe2+ Qxe2 f5 Be3 b6 b3 f4 Bf2 Bd7 a3 g5 b4 h5 c5 bxc5 bxc5 g4 c6 gxf3 gxf3 Bh3 Kh1 Bxf1 Rxf1 Kh7 a4 Rg8 Rg1 Bf6 Qe1 Rxg1+ Kxg1 Qg7+ Kh1 Rg8 Bf1 Bh4 Bh3 Bxf2 Qxf2 Rb8 Qc2 Qg5 Bf1 Qh4 Bb5 Qe1+ Kg2 Rg8+ Kh3 Rg3+ hxg3 Qxg3#
21,2295,2191,1-0,35,True,True,kingside,kingside,19,resignation,Nf3 Nf6 c4 g6 Nc3 Bg7 e4 d6 d4 O-O Be2 Nbd7 O-O e5 Qc2 c6 Rd1 Qe7 dxe5 dxe5 a3 a5 Na4 Nc5 Nxc5 Qxc5 b4 Qe7 Bd2 axb4 axb4 Rxa1 Rxa1 Nh5 g3 f5 Bc3 Nf6 Nd2 fxe4 Nxe4 Nxe4 Qxe4 Bf5 Qe3 e4 Ra7 Bxc3 Qxc3 Bc8 c5 Qf6 Qxf6 Rxf6 Bf1 Kg7 Bg2 Rf8 Bxe4 Rd8 Bxc6 Bh3 Rxb7+ Kf6 f4 Rd1+ Kf2 h5 Be4 Rd2+ Ke3
22,2345,2560,0-1,58,True,True,kingside,kingside,22,resignation,e4 c5 Nf3 d6 c3 Nf6 h3 Nc6 Bd3 d5 e5 Nd7 Bb5 Qb6 Ba4 c4 d4 cxd3 O-O g6 Re1 Bg7 Qxd3 Nc5 Qd1 Nxa4 Qxa4 Bf5 Nd4 Bd3 Nxc6 bxc6 Be3 Qc7 Bc5 O-O Qd4 Be4 Nd2 Bxe5 Qb4 a5 Qa3 f5 Bxe7 Rfe8 Bc5 Bh2+ Kh1 Bf4 Nf1 Qd8 f3 Bd3 Qa4 Qc7 Qd4 Bxf1 Rxe8+ Rxe8 Rxf1 Be3 Re1 Bxd4 Rxe8+ Kf7 Rf8+ Kg7 cxd4 Qf4 Ra8 Qc1+ Kh2 Qf4+ Kh1 g5 Ra7+ Kg6 Ra6 h5 Rxc6+ Kf7 Bb6 g4 Rc7+ Ke6 Rc6+ Kd7 Rc7+ Kd6 Rc3 Qd2 Bc7+ Kd7 Be5 gxh3 gxh3 Qxb2 Rc7+ Kd8 a4 Qe2 Rg7 Qxf3+ Kh2 f4 Bc7+ Kc8 Bxa5 Qf2+ Rg2 Qxd4 Rc2+ Kd7 Rd2 Qc5
23,1979,2263,1-0,51,True,True,kingside,kingside,21,resignation,c4 c6 d4 g6 Nc3 Bg7 Bg5 d5 e3 Nf6 Nf3 Ne4 Nxe4 dxe4 Nd2 f5 Be2 O-O O-O h6 Bf4 g5 Bxb8 Rxb8 f3 f4 fxe4 fxe3 Nb3 Rxf1+ Qxf1 Bxd4 Nxd4 Qxd4 Rd1 Qf6 Qxf6 exf6 Rd8+ Kf7 Bg4 Bxg4 Rxb8 Ke6 Rxb7 Ke5 Rxa7 Kxe4 h3 Be2 b3 f5 Re7+ Kd3 a4 Kd2 a5 Bd3 a6 Be4 a7 e2 a8=Q e1=Q+ Kh2 Ke2 Qxc6 Kf1 Qc5 Qd2 Qg1+ Ke2 Ra7 Qf4+ Kh1 g4 Ra2+ Kd3 Qd1+ Kc3 hxg4 fxg4 Qa1+ Kb4 Ra4+ Kc5 Qg1+ Kc6 Ra6+ Kc7 Qc5+ Kd7 Ra7+ Ke6 Qe7+ Kf5 Ra5+ Kg6 Qe6+ Kg7 Ra7+ Kf8 Qe7+
24,2550,2502,1-0,42,True,True,kingside,kingside,20,resignation,d4 d5 c4 c6 Nf3 Nf6 e3 Bg4 h3 Bxf3 Qxf3 g6 Nc3 Bg7 Bd3 O-O O-O dxc4 Bxc4 Nbd7 Rd1 e5 d5 e4 Nxe4 Ne5 Nxf6+ Bxf6 Qe2 Nxc4 Qxc4 cxd5 Rxd5 Qb6 e4 Bxb2 Be3 Rfc8 Qe2 Qb4 Rb5 Qxb5 Qxb5 Bxa1 Qxb7 a5 Bf4 a4 Bd6 Re8 e5 a3 f4 Bb2 h4 h5 Kh2 Rad8 Be7 Rd4 Bg5 Rc4 Qd7 Rf8 e6 Rd4 exf7+ Rxf7 Qe8+ Kg7 Bh6+ Kxh6 Qxf7 Re4 Qf8+ Kh7 g3 Re2+ Kh3 Rf2 Qe7+ Kg8 Qe1 Bd4 Qe4
25,2392,2272,0-1,51,True,True,kingside,kingside,22,resignation,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 d3 b5 Bb3 Be7 O-O d6 a4 b4 Nbd2 O-O a5 Be6 Bxe6 fxe6 c3 Rb8 Nc4 Rb5 Re1 Nd7 d4 Bf6 dxe5 Ndxe5 Ncxe5 Bxe5 cxb4 Rxb4 Ra3 Bf6 Qc2 Qd7 Rd3 Rb5 Qd1 Rxa5 g3 Rb5 b3 Qf7 Kg2 Nb4 Rde3 Bg5 Rc3 Na2 Rc2 Nxc1 Nxg5 Rxg5 Qxc1 Rc5 f4 Rxc2+ Qxc2 Rb8 Rc1 c5 Rd1 Rb6 e5 Qb7+ Kh3 Qc7 b4 dxe5 bxc5 Rc6 Qa4 h6 fxe5 Rxc5 Qe8+ Kh7 Rd8 Rxe5 Ra8 a5 Kh4 Qc4+ g4 Qf4 Qg8+ Kg6 Qe8+ Qf7 Qxf7+ Kxf7 Kg3 Rb5 h4 Rb3+ Kf4 Rb4+
26,2413,2315,1/2-1/2,36,False,False,none,none,20,draw,Nf3 c5 c4 Nc6 Nc3 g6 e3 Nf6 d4 cxd4 exd4 d5 cxd5 Nxd5 Qb3 e6 Bc4 Na5 Bb5+ Bd7 Qa4 a6 Bxd7+ Qxd7 Qxd7+ Kxd7 Ne5+ Ke8 Nxd5 exd5 Bd2 Nc4 b3 Nxe5 dxe5 Kd7 Bc3 Ke6 Ke2 Rc8 Kd3 Ba3 Rab1 Bc5 f4 Be3 g3 d4 Bxd4 Bxd4 Kxd4 Rc2 Rbc1 Rd8+ Ke3 Rxa2 Rhd1 Rxd1 Rxd1 b5 Rd6+ Ke7 Ke4 Rxh2 Rxa6 Rb2 Ra7+ Ke8 Ra8+ Ke7 Ra7+ Ke8
27,2332,2334,1-0,55,True,True,kingside,kingside,23,resignation,Nf3 d5 g3 Nf6 Bg2 c6 O-O Bg4 h3 Bh5 Ne5 Nbd7 d4 e6 f4 Bd6 b3 Qb6 Kh2 Bg6 a4 Be4 Nxd7 Nxd7 Bxe4 dxe4 c4 c5 a5 Qc6 Nc3 cxd4 Qxd4 Nf6 Be3 O-O Nb5 Bb8 Rfd1 a6 Nc3 h6 Na4 Bc7 Nb6 Rad8 Qc5 Qxc5 Bxc5 Rfe8 b4 g5 fxg5 hxg5 Kg2 Nh5 Bf2 f5 Nd7 Kf7 Bb6 Rc8 Bxc7 Rxc7 Nc5 Ke7 Rd4 Rec8 Rad1 Nf6 e3 e5 Rd6 Rc6 R6d2 f4 Kf2 b6 axb6 Rxb6 Nd7 Rxb4 Nxe5 fxe3+ Kxe3 Rb3+ Ke2 Rxg3 Rd6 Rb8 Nc6+ Kf7 Nxb8 a5 Rf1 a4 Rfxf6+ Kg7 Rfe6 a3 Ra6 a2 Re7+ Kf8 Rea7 Rxh3 Nd7+ Ke7 Nc5+ Kd8 Rxa2
28,2119,2136,1-0,33,True,True,queenside,kingside,14,resignation,d4 Nf6 c4 g6 Nc3 Bg7 e4 O-O Be3 d6 f3 e5 d5 Ne8 Qd2 f5 exf5 gxf5 O-O-O Nd7 Bd3 a6 Nge2 Nc5 Bb1 b5 b4 Nd7 cxb5 axb5 g4 Nb6 Bg5 Bf6 Bxf6 Qxf6 gxf5 Nc4 Rhg1+ Kh8 Qg5 Bxf5 Qxf6+ Rxf6 Rg3 Bxb1 Kxb1 Ng7 Ne4 Rg6 Rxg6 hxg6 N2c3 Nf5 Rg1 Nh4 Rg3 Kg7 Rh3 Nf5 Ng5 Ra3 Nce4 Re3 Rh7+ Kf8 Ne6+
29,2522,2285,1-0,48,True,True,kingside,kingside,16,resignation,d4 e6 c4 Nf6 Nf3 d5 Bg5 c6 Nc3 Nbd7 cxd5 exd5 e3 Be7 Bd3 O-O Qc2 Re8 h3 Nf8 O-O Ne4 Bxe7 Qxe7 Bxe4 dxe4 Nd2 Bf5 f4 Nd7 Nc4 Be6 Ne5 f6 Nxd7 Qxd7 Rfd1 f5 Na4 b6 b3 h6 Nb2 b5 Rac1 Rac8 Qf2 Qb7 Rc5 Qa6 g4 Qxa2 gxf5 Bxb3 Rd2 Qb1+ Kh2 Rf8 Qg3 Bd5 Nd1 b4 Rg2 Rc7 Nf2 Qe1 Qg6 Qxe3 Qd6 Rcc8 Qe5 g5 fxg5 h5 Rxc6 Bxc6 Qe6+ Kh8 Qh6+ Kg8 Qg6+ Kh8 Qxh5+ Kg8 Qg6+ Kh8 Qh6+ Kg8 Qe6+ Kh8 Qe5+ Kg8 Ng4 Rfe8 Qd6 Qf3 Nh6+
30,2324,2365,1/2-1/2,13,True,True,kingside,kingside,2,draw,d4 Nf6 c4 c5 d5 g6 Nc3 d6 e4 Bg7 Nge2 O-O Ng3 e6 Be2 exd5 cxd5 a6 a4 Nbd7 O-O Rb8 f3 Ne8 Be3 Ra8
31,2482,2329,1/2-1/2,61,True,True,kingside,queenside,26,draw,d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bf5 Ne5 Nbd7 Nxc4 Qc7 g3 e5 dxe5 Nxe5 Bf4 Nfd7 Bg2 g5 Ne3 gxf4 Nxf5 fxg3 hxg3 O-O-O Qc2 Nf6 O-O h5 Rfd1 Bc5 e3 Neg4 Ne2 Qe5 Ned4 Bxd4 Nxd4 Qc7 Rdc1 Nd5 Qf5+ Kb8 Bxd5 Rxd5 Qxd5 cxd5 Rxc7 Kxc7 Nb5+ Kb6 Nc3 Rd8 Rd1 Kc5 Rd4 a5 Rf4 Ne5 Rf5 Nd3 Rxf7 b6 Nd1 Kb4 Rf6 Rb8 Rf5 Kxa4 Rxd5 Nb4 Rd2 Kb3 e4 Re8 f3 a4 Kf2 b5 Rd6 Na2 Ke3 b4 f4 Rg8 Kf3 a3 bxa3 bxa3 Rd3+ Kb4 Ne3 Nc3 Nc2+ Kc4 Rd4+ Kc5 Rd7 Nb5 Rd5+ Kc4 Nxa3+ Nxa3 Rxh5 Nb5 Rg5 Nd4+ Kg4 Re8 e5 Kd5 Rg6 Ke4 Kg5 Rf8 Kh6 Nf5+ Kh7 Nxg3 Rxg3
32,2345,2291,0-1,42,False,True,none,kingside,18,resignation,d4 Nf6 Nf3 e6 Bg5 c5 e3 h6 Bh4 cxd4 Bxf6 Qxf6 exd4 b6 Nbd2 Bb7 Bd3 Be7 Qe2 Nc6 c3 d5 Ne5 Bd6 Bb5 Bxe5 dxe5 Qe7 Nb3 O-O Bxc6 Bxc6 Nd4 Bb7 f4 a5 h4 f6 g3 Ba6 Qe3 b5 a3 b4 axb4 axb4 Kf2 bxc3 bxc3 f5 Rhb1 Bc4 Qc1 Qc5 Kg2 Bd3 Rb7 Be4+ Kh3 Rxa1 Qxa1 Qc4 h5 Rc8 Kh4 Kh8 Ra7 Kh7 Re7 Kh8 Ra7 Kh7 Rb7 Kh8 Rd7 Qd3 Rxg7 Qd2 Qg1 Kxg7 Nxe6+ Kh8 g4 fxg4
