event_id,moves_uci
11,e2e4 g7g6 d2d4 f8g7 b1c3 d7d6 h2h3 a7a6 a2a4 b8d7 c1e3 e7e6 d1d2 h7h6 f2f4 g8e7 f1d3 f7f5 g1f3 d7f6 e4e5 f6d5 c3d5 e7d5 c2c4 d5e3 d2e3 d6d5 c4c5 c8d7 g2g4 e8g8 g4f5 g6f5 e3f2 g8h7 h1g1 d8e7 e1d2 b7b6 b2b4 b6c5 d4c5 e7e8 f2h4 f8g8 d3e2 h7h8 f3d4 a8b8 a1b1 e8d8 h4d8 b8d8 e2a6 d8a8 a6b5 d7b5 a4b5 a8a2 d2c3 a2h2 g1g3 g8a8 d4e6 a8a3 b1b3 a3a2 c3d4 a2d2 b3d3 d2b2 d4d5 h6h5 d5c6
12,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 h2h4 h7h6 g1f3 b8d7 h4h5 g6h7 f1d3 h7d3 d1d3 e7e6 c1f4 d8a5 f4d2 a5c7 e1c1 g8f6 g3e4 e8c8 g2g3 f6e4 d3e4 f8d6 c2c4 c6c5 d2c3 c5d4 f3d4 d7c5 e4g4 a7a6 b2b3 d6e5 c1c2 d8d7 d1d2 f7f5 g4e2 c5e4 h1e1 h8d8 d4e6 e5c3 d2d7 c7d7 e6d8 c3e1 f2f3 c8d8 e2e1 e4f6 e1e5 f6h5 g3g4 h5f6 g4f5 d7c6 c2c3 c6f3 c3b4 f3c6 e5b8 d8d7 b8h8 c6d6 b4a4 d6e7 h8b8 d7c6 b3b4 e7c7 b8f8 b7b5 c4b5 a6b5 a4b3 c7g3 b3b2 g3e5 b2b3 e5f5 f8g7 f5e6 b3b2 f6d5 g7g2 e6e5 b2b1 e5e1 b1c2 e1c3
13,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 c2c3 c5d4 c3d4 d5e4 d2e4 f8b4 e4c3 g8f6 g1f3 e8g8 f1d3 b7b6 e1g1 c8b7 c1g5 b4e7 d1e2 b8c6 a1d1 c6b4 d3b1 b7a6 c3b5 d8d5 a2a4 d5b3 g5f6 e7f6 e2e4 g7g6 f1e1 b3a4 b5c7 a8c8 c7a6 a4a6 h2h4 a6b5 f3e5 f6e5 d4e5 c8c4 e4e2 b5c5 h4h5 c4h4 h5g6 h7g6 g2g3 h4h6 g1g2 g8g7 e2f3 b4d5 b1e4 f8h8 e1h1 h6h1 d1h1 h8h1 g2h1 c5d4 e4d5 d4d5 f3d5 e6d5 h1g2 a7a5 g2f3 b6b5 f3e3 a5a4
14,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 e7e6 e2e3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 c8b7 e3e4 a7a6 e4e5 f6d5 c3d5 c6d5 c1d2 f8e7 e1g1 d8b6 d1b3 e8g8 d2b4 e7b4 b3b4 f7f6 f1e1 f6e5 f3e5 d7e5 e1e5 f8f6 g2g3 a8c8 a1e1 a6a5 b4d2 b5b4 d2e3 c8c6 f2f4 g7g6 g3g4 b7c8 h2h4 g8g7 h4h5 a5a4 h5g6 h7g6 e5g5 a4a3 e3e5 g7f7 f4f5 a3b2 f5g6
15,e2e4 e7e6 d2d3 d7d5 b1d2 g8f6 g2g3 c7c5 f1g2 b8c6 g1f3 f8e7 e1g1 e8g8 e4e5 f6d7 f1e1 d8c7 d1e2 b7b5 h2h4 a7a5 d2f1 c8a6 c1f4 b5b4 e2d2 d7b6 f1e3 f8d8 e3g4 c5c4 d3d4 c4c3 b2c3 b4c3 d2c1 b6c4 a2a3 c7b6 f4g5 b6b2 g5e7 b2c1 e1c1 c6e7 g2f1 d8c8 g4e3 c4e3 f2e3 a6f1 g1f1 a8b8 f3e1 b8b2 c1b1 c8b8 b1b2 b8b2 f1e2 e7f5 e2d3 f5g3 d3c3 b2b8 a3a4 g3f5 e1g2 f7f6 e5f6 g7f6 c3d3 f5g3 g2f4 g8f7 h4h5 g3e4 h5h6 b8b4 a1a3 e4f2 d3e2 f2g4 a3b3 b4b3 c2b3 g4h6 b3b4 h6f5 b4a5 f5d6 a5a6 d6c8 e2f3 f7e7 f3g4 e7d6 g4h5 e6e5 f4d3 e5d4 e3d4 d6c6 h5h6 c8b6 d3b4 c6d6 a4a5 b6c8 h6h7 f6f5 b4d3 d6c6 h7g6 c6b5 g6f5 b5a5 f5e5 a5a6 e5d5 a6b5 d3e5 c8b6 d5d6 b6c8 d6d7 c8b6 d7c7 b6d5 c7d6 d5c3 d6e6 b5b6 e6d7 b6b5 d7d6 b5b6 e5c4 b6b5 c4e3
16,d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 e3d4 f8d6 g1f3 g8f6 e1g1 e8g8 h2h3 h7h6 d1d3 b8c6 a2a3 a7a6 b1c3 b7b5 c4a2 c6e7 f1d1 c8f5 d3e2 d8b8 g2g4 f5h7 f3e5 c7c5 c1f4 e7g6 e5g6 h7g6 f4d6 b8d6 e2e5 d6e5 d4e5 f6e4 c3d5 c5c4 f2f4 g6h7 b2b3 c4b3 a2b3 e4c5 b3a2 h7e4 d1d4 e4d5 a2d5 a8e8 a1f1 c5e6 d4d3 e8d8 f1f3 e6c5 d3d1 f8e8 f3c3 c5e6 c3d3 g8f8 d5e6 d8d3 d1d3 e8e6
17,e2e4 c7c5 f1e2 e7e6 c2c3 b8c6 f2f4 d7d5 d2d3 g8f6 e4e5 f6d7 g1f3 f8e7 e1g1 e8g8 d3d4 c5c4 d1e1 b7b5 e1g3 g8h8 f3g5 e7g5 f4g5 f7f6 g5g6 h7g6 g3h3 h8g8 h3e6 f8f7 e6c6 d7b6 c1f4 f7c7 c6d6 c7d7 d6a3 g6g5 f4g3 f6f5 f1f5 d7b7 f5f2 c8e6 b1d2 a7a5 e2h5 b6d7 a1f1 b5b4 c3b4 a5b4 a3f3 d8e7 h5g4 a8a2 g4e6 e7e6 d2c4 b7a7 c4e3
18,g1f3 g8f6 c2c4 d7d6 d2d4 g7g6 b1c3 f8g7 e2e4 e8g8 f1e2 e7e5 e1g1 b8d7 f1e1 c7c6 a1b1 f8e8 e2f1 a7a5 b2b3 d8b6 d4d5 c6c5 g2g3 d7f8 f3h4 h7h6 f1d3 b6d8 h4g2 f6h5 d3e2 h5f6 e2d3 f8h7 f2f3 f6h5 c1e3 f7f5 d1d2 h7g5 g2h4 f5f4 e3f2 g5h3 g1h1 h3f2 d2f2 f4g3 h2g3 d8g5 h1h2 e8f8 f2g2 h5f4 g2f1 f4h3 f1g2 g5h5 d3e2 h3f4 g3f4 h5h4 h2g1 e5f4 c3b5 g8h7 g2h2 h4h2 g1h2 g7e5 a2a4 c8d7 e1g1 h6h5 g1g2 f8g8 b1h1 h7h6 h2g1 g6g5 b5c7 a8f8 c7e6 f8f6 g2h2 h5h4 g1f2 h6h5 f2e1 e5c3 e1d1 c3d4 e2f1 d7e6 d5e6 f6e6 f1h3 e6e5 h3g4 h5g6 d1c2 g6f6 c2d3 g8a8 h2a2 a8a6 h1h2 a6b6 d3c2 e5e8 h2h1 f6e5 h1b1 e8h8 g4h3 g5g4 f3g4 f4f3 c2d3 e5f4 g4g5 f4g3 h3f5 h4h3 g5g6 h3h2 e4e5 h2h1Q b1h1 b6b3 d3e4 d4e5 h1g1 g3h4 g1g4 h4h5 g6g7 h8g8 a2f2 b3c3 e4d5 g8g7 g4g7 e5g7 f5e4 h5g4 d5d6 g7d4 f2f1 f3f2 e4b7 c3c4 b7c6 g4f4 c6b5 c4c2 d6d5 f4e3 f1h1 c2b2 h1h3 e3d2 h3h1 b2b3 b5c4 b3g3 h1f1 g3g1 d5c6 g1f1 c4f1 d2e1 f1h3 c5c4
19,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 c2c3 g8f6 b1d2 e8g8 f1d3 b8d7 e1g1 e7e5 d2c4 e5d4 c3d4 d6d5 e4e5 d5c4 e5f6 d8f6 d3c4 d7b6 c1g5 f6d6 a1c1 b6c4 c1c4 c8e6 c4c3 c7c6 a2a3 f8e8 d1d2 e6d5 g5f4 d6d7 f1d1 d7f5 f4h6 g7h8 d2g5 f5g5 h6g5 e8e6 c3e3 a8e8 d1e1 d5f3 g2f3 h8d4 e3e6 e8e6 e1d1 c6c5 b2b4 f7f6 g5f4 g8f7 f4b8 a7a6 b8a7 b7b6 a3a4 e6d6 g1f1 c5b4 a4a5 d4e5 d1c1 b6a5 c1c5 b4b3 c5c7 f7e6 c7b7 a5a4
20,d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 e8g8 e2e4 d7d6 f1e2 b8d7 e1g1 e7e5 d4d5 d7c5 d1c2 a7a5 f3e1 d8e7 f2f3 f6h5 e1d3 c5d3 e2d3 h5f4 c3e2 f4e2 c2e2 f7f5 c1e3 b7b6 b2b3 f5f4 e3f2 c8d7 a2a3 g6g5 b3b4 h7h5 c4c5 b6c5 b4c5 g5g4 c5c6 g4f3 g2f3 d7h3 g1h1 h3f1 a1f1 g8h7 a3a4 f8g8 f1g1 g7f6 e2e1 g8g1 h1g1 e7g7 g1h1 a8g8 d3f1 f6h4 f1h3 h4f2 e1f2 g8b8 f2c2 g7g5 h3f1 g5h4 f1b5 h4e1 h1g2 b8g8 g2h3 g8g3 h2g3 e1g3
21,g1f3 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 d2d4 e8g8 f1e2 b8d7 e1g1 e7e5 d1c2 c7c6 f1d1 d8e7 d4e5 d6e5 a2a3 a7a5 c3a4 d7c5 a4c5 e7c5 b2b4 c5e7 c1d2 a5b4 a3b4 a8a1 d1a1 f6h5 g2g3 f7f5 d2c3 h5f6 f3d2 f5e4 d2e4 f6e4 c2e4 c8f5 e4e3 e5e4 a1a7 g7c3 e3c3 f5c8 c4c5 e7f6 c3f6 f8f6 e2f1 g8g7 f1g2 f6f8 g2e4 f8d8 e4c6 c8h3 a7b7 g7f6 f2f4 d8d1 g1f2 h7h5 c6e4 d1d2 f2e3
22,e2e4 c7c5 g1f3 d7d6 c2c3 g8f6 h2h3 b8c6 f1d3 d6d5 e4e5 f6d7 d3b5 d8b6 b5a4 c5c4 d2d4 c4d3 e1g1 g7g6 f1e1 f8g7 d1d3 d7c5 d3d1 c5a4 d1a4 c8f5 f3d4 f5d3 d4c6 b7c6 c1e3 b6c7 e3c5 e8g8 a4d4 d3e4 b1d2 g7e5 d4b4 a7a5 b4a3 f7f5 c5e7 f8e8 e7c5 e5h2 g1h1 h2f4 d2f1 c7d8 f2f3 e4d3 a3a4 d8c7 a4d4 d3f1 e1e8 a8e8 a1f1 f4e3 f1e1 e3d4 e1e8 g8f7 e8f8 f7g7 c3d4 c7f4 f8a8 f4c1 h1h2 c1f4 h2h1 g6g5 a8a7 g7g6 a7a6 h7h5 a6c6 g6f7 c5b6 g5g4 c6c7 f7e6 c7c6 e6d7 c6c7 d7d6 c7c3 f4d2 b6c7 d6d7 c7e5 g4h3 g2h3 d2b2 c3c7 d7d8 a2a4 b2e2 c7g7 e2f3 h1h2 f5f4 e5c7 d8c8 c7a5 f3f2 g7g2 f2d4 g2c2 c8d7 c2d2 d4c5
23,c2c4 c7c6 d2d4 g7g6 b1c3 f8g7 c1g5 d7d5 e2e3 g8f6 g1f3 f6e4 c3e4 d5e4 f3d2 f7f5 f1e2 e8g8 e1g1 h7h6 g5f4 g6g5 f4b8 a8b8 f2f3 f5f4 f3e4 f4e3 d2b3 f8f1 d1f1 g7d4 b3d4 d8d4 a1d1 d4f6 f1f6 e7f6 d1d8 g8f7 e2g4 c8g4 d8b8 f7e6 b8b7 e6e5 b7a7 e5e4 h2h3 g4e2 b2b3 f6f5 a7e7 e4d3 a2a4 d3d2 a4a5 e2d3 a5a6 d3e4 a6a7 e3e2 a7a8Q e2e1Q g1h2 d2e2 a8c6 e2f1 c6c5 e1d2 c5g1 f1e2 e7a7 d2f4 h2h1 g5g4 a7a2 e2d3 g1d1 d3c3 h3g4 f5g4 d1a1 c3b4 a2a4 b4c5 a1g1 c5c6 a4a6 c6c7 g1c5 c7d7 a6a7 d7e6 c5e7 e6f5 a7a5 f5g6 e7e6 g6g7 a5a7 g7f8 e6e7
24,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8g4 h2h3 g4f3 d1f3 g7g6 b1c3 f8g7 f1d3 e8g8 e1g1 d5c4 d3c4 b8d7 f1d1 e7e5 d4d5 e5e4 c3e4 d7e5 e4f6 g7f6 f3e2 e5c4 e2c4 c6d5 d1d5 d8b6 e3e4 f6b2 c1e3 f8c8 c4e2 b6b4 d5b5 b4b5 e2b5 b2a1 b5b7 a7a5 e3f4 a5a4 f4d6 c8e8 e4e5 a4a3 f2f4 a1b2 h3h4 h7h5 g1h2 a8d8 d6e7 d8d4 e7g5 d4c4 b7d7 e8f8 e5e6 c4d4 e6f7 f8f7 d7e8 g8g7 g5h6 g7h6 e8f7 d4e4 f7f8 h6h7 g2g3 e4e2 h2h3 e2f2 f8e7 h7g8 e7e1 b2d4 e1e4
25,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 b7b5 a4b3 f8e7 e1g1 d7d6 a2a4 b5b4 b1d2 e8g8 a4a5 c8e6 b3e6 f7e6 c2c3 a8b8 d2c4 b8b5 f1e1 f6d7 d3d4 e7f6 d4e5 d7e5 c4e5 f6e5 c3b4 b5b4 a1a3 e5f6 d1c2 d8d7 a3d3 b4b5 c2d1 b5a5 g2g3 a5b5 b2b3 d7f7 g1g2 c6b4 d3e3 f6g5 e3c3 b4a2 c3c2 a2c1 f3g5 b5g5 d1c1 g5c5 f2f4 c5c2 c1c2 f8b8 e1c1 c7c5 c1d1 b8b6 e4e5 f7b7 g2h3 b7c7 b3b4 d6e5 b4c5 b6c6 c2a4 h7h6 f4e5 c6c5 a4e8 g8h7 d1d8 c5e5 d8a8 a6a5 h3h4 c7c4 g3g4 c4f4 e8g8 h7g6 g8e8 f4f7 e8f7 g6f7 h4g3 e5b5 h2h4 b5b3 g3f4 b3b4
26,g1f3 c7c5 c2c4 b8c6 b1c3 g7g6 e2e3 g8f6 d2d4 c5d4 e3d4 d7d5 c4d5 f6d5 d1b3 e7e6 f1c4 c6a5 c4b5 c8d7 b3a4 a7a6 b5d7 d8d7 a4d7 e8d7 f3e5 d7e8 c3d5 e6d5 c1d2 a5c4 b2b3 c4e5 d4e5 e8d7 d2c3 d7e6 e1e2 a8c8 e2d3 f8a3 a1b1 a3c5 f2f4 c5e3 g2g3 d5d4 c3d4 e3d4 d3d4 c8c2 b1c1 h8d8 d4e3 c2a2 h1d1 d8d1 c1d1 b7b5 d1d6 e6e7 e3e4 a2h2 d6a6 h2b2 a6a7 e7e8 a7a8 e8e7 a8a7 e7e8
27,g1f3 d7d5 g2g3 g8f6 f1g2 c7c6 e1g1 c8g4 h2h3 g4h5 f3e5 b8d7 d2d4 e7e6 f2f4 f8d6 b2b3 d8b6 g1h2 h5g6 a2a4 g6e4 e5d7 f6d7 g2e4 d5e4 c2c4 c6c5 a4a5 b6c6 b1c3 c5d4 d1d4 d7f6 c1e3 e8g8 c3b5 d6b8 f1d1 a7a6 b5c3 h7h6 c3a4 b8c7 a4b6 a8d8 d4c5 c6c5 e3c5 f8e8 b3b4 g7g5 f4g5 h6g5 h2g2 f6h5 c5f2 f7f5 b6d7 g8f7 f2b6 d8c8 b6c7 c8c7 d7c5 f7e7 d1d4 e8c8 a1d1 h5f6 e2e3 e6e5 d4d6 c7c6 d6d2 f5f4 g2f2 b7b6 a5b6 c6b6 c5d7 b6b4 d7e5 f4e3 f2e3 b4b3 e3e2 b3g3 d2d6 c8b8 e5c6 e7f7 c6b8 a6a5 d1f1 a5a4 f1f6 f7g7 f6e6 a4a3 d6a6 a3a2 e6e7 g7f8 e7a7 g3h3 b8d7 f8e7 d7c5 e7d8 a6a2
28,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 e8g8 c1e3 d7d6 f2f3 e7e5 d4d5 f6e8 d1d2 f7f5 e4f5 g6f5 e1c1 b8d7 f1d3 a7a6 g1e2 d7c5 d3b1 b7b5 b2b4 c5d7 c4b5 a6b5 g2g4 d7b6 e3g5 g7f6 g5f6 d8f6 g4f5 b6c4 h1g1 g8h8 d2g5 c8f5 g5f6 f8f6 g1g3 f5b1 c1b1 e8g7 c3e4 f6g6 g3g6 h7g6 e2c3 g7f5 d1g1 f5h4 g1g3 h8g7 g3h3 h4f5 e4g5 a8a3 c3e4 a3e3 h3h7 g7f8 g5e6
29,d2d4 e7e6 c2c4 g8f6 g1f3 d7d5 c1g5 c7c6 b1c3 b8d7 c4d5 e6d5 e2e3 f8e7 f1d3 e8g8 d1c2 f8e8 h2h3 d7f8 e1g1 f6e4 g5e7 d8e7 d3e4 d5e4 f3d2 c8f5 f2f4 f8d7 d2c4 f5e6 c4e5 f7f6 e5d7 e7d7 f1d1 f6f5 c3a4 b7b6 b2b3 h7h6 a4b2 b6b5 a1c1 a8c8 c2f2 d7b7 c1c5 b7a6 g2g4 a6a2 g4f5 e6b3 d1d2 a2b1 g1h2 e8f8 f2g3 b3d5 b2d1 b5b4 d2g2 c8c7 d1f2 b1e1 g3g6 e1e3 g6d6 c7c8 d6e5 g7g5 f4g5 h6h5 c5c6 d5c6 e5e6 g8h8 e6h6 h8g8 h6g6 g8h8 g6h5 h8g8 h5g6 g8h8 g6h6 h8g8 h6e6 g8h8 e6e5 h8g8 f2g4 f8e8 e5d6 e3f3 g4h6
30,d2d4 g8f6 c2c4 c7c5 d4d5 g7g6 b1c3 d7d6 e2e4 f8g7 g1e2 e8g8 e2g3 e7e6 f1e2 e6d5 c4d5 a7a6 a2a4 b8d7 e1g1 a8b8 f2f3 f6e8 c1e3 b8a8
31,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 b8d7 e5c4 d8c7 g2g3 e7e5 d4e5 d7e5 c1f4 f6d7 f1g2 g7g5 c4e3 g5f4 e3f5 f4g3 h2g3 e8c8 d1c2 d7f6 e1g1 h7h5 f1d1 f8c5 e2e3 e5g4 c3e2 c7e5 e2d4 c5d4 f5d4 e5c7 d1c1 f6d5 c2f5 c8b8 g2d5 d8d5 f5d5 c6d5 c1c7 b8c7 d4b5 c7b6 b5c3 h8d8 a1d1 b6c5 d1d4 a7a5 d4f4 g4e5 f4f5 e5d3 f5f7 b7b6 c3d1 c5b4 f7f6 d8b8 f6f5 b4a4 f5d5 d3b4 d5d2 a4b3 e3e4 b8e8 f2f3 a5a4 g1f2 b6b5 d2d6 b4a2 f2e3 b5b4 f3f4 e8g8 e3f3 a4a3 b2a3 b4a3 d6d3 b3b4 d1e3 a2c3 e3c2 b4c4 d3d4 c4c5 d4d7 c3b5 d7d5 c5c4 c2a3 b5a3 d5h5 a3b5 h5g5 b5d4 f3g4 g8e8 e4e5 c4d5 g5g6 d5e4 g4g5 e8f8 g5h6 d4f5 h6h7 f5g3 g6g3
32,d2d4 g8f6 g1f3 e7e6 c1g5 c7c5 e2e3 h7h6 g5h4 c5d4 h4f6 d8f6 e3d4 b7b6 b1d2 c8b7 f1d3 f8e7 d1e2 b8c6 c2c3 d7d5 f3e5 e7d6 d3b5 d6e5 d4e5 f6e7 d2b3 e8g8 b5c6 b7c6 b3d4 c6b7 f2f4 a7a5 h2h4 f7f6 g2g3 b7a6 e2e3 b6b5 a2a3 b5b4 a3b4 a5b4 e1f2 b4c3 b2c3 f6f5 h1b1 a6c4 e3c1 e7c5 f2g2 c4d3 b1b7 d3e4 g2h3 a8a1 c1a1 c5c4 h4h5 f8c8 h3h4 g8h8 b7a7 h8h7 a7e7 h7h8 e7a7 h8h7 a7b7 h7h8 b7d7 c4d3 d7g7 d3d2 a1g1 h8g7 d4e6 g7h8 g3g4 f5g4
