event_id,white_elo,black_elo,result,num_moves,white_castled,black_castled,white_castle_side,black_castle_side,num_captures,termination,eco_code,opening_name,eco_family,total_half_moves,white_acl,black_acl,white_blunders,black_blunders,white_mistakes,black_mistakes,final_eval,max_white_advantage,max_black_advantage,game_sharpness,elo_gap,avg_elo,elo_bucket_white,elo_bucket_black,acl_gap,winner_binary,winner_multiclass,source,has_stockfish
11,2306,2093,1-0,37,0.0,1.0,none,kingside,15.0,resignation,B06,Modern Defense: Standard Defense,B,75,15.29,81.57,0.0,5.0,0.0,3.0,1240.0,1581.0,15.0,345.37,213,2200.0,Expert,Expert,-66.28,1.0,2,kaggle_pgn,True
12,2108,2273,0-1,50,1.0,1.0,queenside,queenside,23.0,resignation,B15,Caro-Kann Defense,B,100,29.66,10.06,1.0,0.0,6.0,0.0,-682.0,63.0,-683.0,256.67,-165,2190.0,Expert,Expert,19.6,0.0,0,kaggle_pgn,True
13,2047,2186,0-1,39,1.0,1.0,kingside,kingside,21.0,resignation,C07,"French Defense: Tarrasch Variation, Open System, Süchting Line",C,78,58.95,14.42,2.0,0.0,3.0,0.0,-1003.0,48.0,-1003.0,210.37,-139,2116.0,Expert,Expert,44.53,0.0,0,kaggle_pgn,True
14,2357,2110,1-0,31,1.0,1.0,kingside,kingside,14.0,resignation,D43,Semi-Slav Defense,D,63,30.58,82.8,1.0,1.0,1.0,3.0,1126.0,1126.0,-1.0,182.11,247,2234.0,Expert,Expert,-52.22,1.0,2,kaggle_pgn,True
15,1877,1851,1/2-1/2,70,1.0,1.0,kingside,kingside,27.0,draw,C00,French Defense: King's Indian Attack,C,141,25.54,30.15,0.0,2.0,1.0,7.0,0.0,236.0,-124.0,49.73,26,1864.0,Advanced,Advanced,-4.61,,1,kaggle_pgn,True
16,2406,2147,1/2-1/2,36,1.0,1.0,kingside,kingside,18.0,draw,D20,Queen's Gambit Accepted: Old Variation,D,72,18.81,16.81,0.0,0.0,2.0,1.0,0.0,81.0,-23.0,23.08,259,2276.0,Expert,Expert,2.0,,1,kaggle_pgn,True
17,2054,2099,1-0,31,1.0,1.0,kingside,kingside,12.0,resignation,B20,Sicilian Defense,B,63,30.31,55.0,1.0,5.0,2.0,3.0,730.0,751.0,-59.0,282.44,-45,2076.0,Expert,Expert,-24.69,1.0,2,kaggle_pgn,True
18,2250,2132,0-1,88,1.0,1.0,kingside,kingside,24.0,resignation,A05,Zukertort Opening,A,176,154.98,56.58,12.0,5.0,7.0,3.0,-5003.0,385.0,-5227.0,771.44,118,2191.0,Expert,Expert,98.4,0.0,0,kaggle_pgn,True
19,1860,2464,0-1,39,1.0,1.0,kingside,kingside,17.0,resignation,B07,Modern Defense: Geller's System,B,78,52.16,23.75,3.0,1.0,4.0,1.0,-641.0,91.0,-1006.0,234.84,-604,2162.0,Advanced,Expert,28.41,0.0,0,kaggle_pgn,True
20,2295,2191,1-0,35,1.0,1.0,kingside,kingside,19.0,resignation,A05,Zukertort Opening,A,71,9.85,31.71,0.0,1.0,0.0,0.0,539.0,539.0,11.0,155.18,104,2243.0,Expert,Expert,-21.86,1.0,2,kaggle_pgn,True
21,2345,2560,0-1,58,1.0,1.0,kingside,kingside,22.0,resignation,B50,"Sicilian Defense: Delayed Alapin Variation, with d6",B,116,31.92,20.35,1.0,0.0,6.0,3.0,-734.0,64.0,-734.0,143.06,-215,2452.0,Expert,Master,11.57,0.0,0,kaggle_pgn,True
22,2550,2502,1-0,42,1.0,1.0,kingside,kingside,20.0,resignation,D11,"Slav Defense: Quiet Variation, Pin Defense",D,85,12.07,28.72,0.0,1.0,1.0,4.0,586.0,586.0,13.0,152.66,48,2526.0,Master,Master,-16.65,1.0,2,kaggle_pgn,True
23,2392,2272,0-1,51,1.0,1.0,kingside,kingside,22.0,resignation,C77,"Ruy Lopez: Morphy Defense, Anderssen Variation",C,102,192.34,252.52,2.0,1.0,4.0,2.0,-218.0,45.0,-5195.0,724.88,120,2332.0,Expert,Expert,-60.18,0.0,0,kaggle_pgn,True
24,2413,2315,1/2-1/2,36,0.0,0.0,none,none,20.0,draw,A04,Zukertort Opening: Sicilian Invitation,A,72,12.14,11.0,0.0,0.0,0.0,0.0,0.0,64.0,-12.0,16.46,98,2364.0,Expert,Expert,1.14,,1,kaggle_pgn,True
25,2522,2285,1-0,48,1.0,1.0,kingside,kingside,16.0,resignation,A40,Horwitz Defense,A,97,126.91,70.0,4.0,7.0,1.0,0.0,-261.0,1070.0,-261.0,283.95,237,2404.0,Master,Expert,56.91,1.0,2,kaggle_pgn,True
26,2324,2365,1/2-1/2,13,1.0,1.0,kingside,kingside,2.0,draw,A56,Benoni Defense,A,26,11.0,16.29,0.0,0.0,0.0,0.0,78.0,78.0,10.0,17.27,-41,2344.0,Expert,Expert,-5.29,,1,kaggle_pgn,True
27,2482,2329,1/2-1/2,61,1.0,1.0,kingside,queenside,26.0,draw,D17,Slav Defense: Czech Variation,D,123,16.67,14.38,0.0,0.0,1.0,2.0,0.0,152.0,-19.0,40.65,153,2406.0,Expert,Expert,2.29,,1,kaggle_pgn,True
28,2345,2291,0-1,42,0.0,1.0,none,kingside,18.0,resignation,A46,Torre Attack: Classical Defense,A,84,90.5,32.47,3.0,1.0,1.0,3.0,-1197.0,212.0,-1238.0,265.7,54,2318.0,Expert,Expert,58.03,0.0,0,kaggle_pgn,True
29,1933,2207,1-0,57,1.0,1.0,kingside,kingside,25.0,resignation,D02,Queen's Pawn Game: Symmetrical Variation,D,115,400.11,361.26,4.0,8.0,7.0,5.0,1289.0,10221.0,-71.0,1688.46,-274,2070.0,Advanced,Expert,38.85,1.0,2,kaggle_pgn,True
30,1941,2184,1/2-1/2,33,1.0,1.0,kingside,kingside,14.0,draw,A05,Zukertort Opening,A,67,12.19,23.25,0.0,1.0,0.0,0.0,-19.0,94.0,-27.0,19.27,-243,2062.0,Advanced,Expert,-11.06,,1,kaggle_pgn,True
31,2224,2008,1/2-1/2,39,1.0,1.0,kingside,kingside,20.0,draw,E73,"King's Indian Defense: Normal Variation, Standard Development",E,78,40.48,34.11,2.0,1.0,4.0,3.0,-86.0,454.0,-160.0,145.62,216,2116.0,Expert,Expert,6.37,,1,kaggle_pgn,True
32,1889,2307,0-1,38,1.0,1.0,kingside,kingside,14.0,resignation,A15,English Opening: Anglo-Indian Defense,A,76,120.76,820.83,4.0,2.0,0.0,0.0,-1998.0,50.0,-11576.0,1382.02,-418,2098.0,Advanced,Expert,-700.07,0.0,0,kaggle_pgn,True
33,2369,2394,1-0,86,1.0,1.0,kingside,kingside,24.0,resignation,C02,"French Defense: Advance Variation, Paulsen Attack",C,173,408.12,350.67,4.0,7.0,3.0,4.0,5950.0,11756.0,-6.0,2179.19,-25,2382.0,Expert,Expert,57.45,1.0,2,kaggle_pgn,True
34,2529,2255,1-0,41,0.0,1.0,none,kingside,15.0,resignation,B33,Sicilian Defense: Lasker-Pelikan Variation,B,83,24.53,54.68,0.0,3.0,3.0,0.0,943.0,943.0,-27.0,168.53,274,2392.0,Master,Expert,-30.15,1.0,2,kaggle_pgn,True
35,1992,2119,1-0,69,1.0,1.0,queenside,queenside,28.0,resignation,C00,French Defense: Chigorin Variation,C,139,206.54,325.27,1.0,5.0,0.0,3.0,4926.0,10286.0,-67.0,2256.75,-127,2056.0,Advanced,Expert,-118.73,1.0,2,kaggle_pgn,True
36,2130,1943,1/2-1/2,16,1.0,1.0,kingside,kingside,5.0,draw,A57,Benko Gambit Accepted: Modern Variation,A,33,13.0,14.33,0.0,0.0,0.0,0.0,82.0,115.0,17.0,24.58,187,2036.0,Expert,Advanced,-1.33,,1,kaggle_pgn,True
37,2376,2591,0-1,32,1.0,1.0,queenside,kingside,16.0,resignation,A48,East Indian Defense,A,64,46.0,23.44,1.0,0.0,5.0,1.0,-797.0,48.0,-797.0,186.24,-215,2484.0,Expert,Master,22.56,0.0,0,kaggle_pgn,True
38,1870,2086,1-0,35,1.0,1.0,kingside,kingside,15.0,resignation,C00,French Defense: Two Knights Variation,C,71,20.2,136.0,1.0,4.0,0.0,0.0,1720.0,1775.0,-181.0,307.55,-216,1978.0,Advanced,Expert,-115.8,1.0,2,kaggle_pgn,True
39,2450,2170,1-0,33,1.0,1.0,kingside,kingside,15.0,resignation,D30,"Queen's Gambit Declined: Tarrasch Defense, Pseudo-Tarrasch",D,67,12.38,61.37,0.0,3.0,0.0,0.0,652.0,1048.0,7.0,162.17,280,2310.0,Expert,Expert,-48.99,1.0,2,kaggle_pgn,True
40,2133,2214,1/2-1/2,23,1.0,0.0,kingside,none,10.0,draw,A46,Torre Attack: Classical Defense,A,47,37.6,21.23,1.0,0.0,1.0,2.0,28.0,91.0,-225.0,53.42,-81,2174.0,Expert,Expert,16.37,,1,kaggle_pgn,True
41,2430,2550,1/2-1/2,5,1.0,0.0,kingside,none,2.0,draw,C60,Ruy Lopez: Bulgarian Variation,C,10,1.0,24.5,0.0,0.0,0.0,0.0,39.0,68.0,20.0,13.32,-120,2490.0,Expert,Master,-23.5,,1,kaggle_pgn,True
42,2024,2517,0-1,50,1.0,1.0,kingside,kingside,22.0,resignation,A20,English Opening: King's English Variation,A,100,64.89,39.5,6.0,2.0,5.0,2.0,-484.0,48.0,-907.0,185.49,-493,2270.0,Expert,Master,25.39,0.0,0,kaggle_pgn,True
43,2079,2202,1/2-1/2,40,1.0,1.0,kingside,kingside,16.0,draw,D35,Queen's Gambit Declined: Normal Defense,D,80,13.73,12.05,0.0,0.0,1.0,0.0,34.0,62.0,-25.0,21.16,-123,2140.0,Expert,Expert,1.68,,1,kaggle_pgn,True
44,2101,2330,0-1,34,0.0,1.0,none,kingside,19.0,resignation,B07,Pirc Defense,B,69,77.3,23.64,2.0,0.0,3.0,1.0,-1255.0,75.0,-1255.0,245.8,-229,2216.0,Expert,Expert,53.66,0.0,0,kaggle_pgn,True
45,2336,2481,1/2-1/2,9,1.0,0.0,kingside,none,4.0,draw,B50,Sicilian Defense: Modern Variations,B,19,13.5,10.25,0.0,0.0,0.0,0.0,21.0,64.0,-1.0,15.94,-145,2408.0,Expert,Expert,3.25,,1,kaggle_pgn,True
46,2281,2524,0-1,42,1.0,1.0,kingside,kingside,18.0,resignation,D30,Queen's Gambit Declined,D,84,39.88,26.95,2.0,1.0,6.0,1.0,-318.0,64.0,-453.0,178.49,-243,2402.0,Expert,Master,12.93,0.0,0,kaggle_pgn,True
47,2148,2197,1/2-1/2,50,1.0,1.0,kingside,kingside,26.0,draw,B54,Sicilian Defense: Prins Variation,B,101,21.0,22.47,0.0,0.0,3.0,3.0,0.0,218.0,0.0,49.14,-49,2172.0,Expert,Expert,-1.47,,1,kaggle_pgn,True
48,2124,2392,0-1,54,1.0,1.0,kingside,queenside,25.0,resignation,A17,"English Opening: Anglo-Indian Defense, Hedgehog System",A,108,65.62,36.92,4.0,3.0,2.0,1.0,-1005.0,67.0,-1085.0,239.96,-268,2258.0,Expert,Expert,28.7,0.0,0,kaggle_pgn,True
49,2246,2426,1-0,30,1.0,1.0,kingside,kingside,16.0,resignation,A05,Zukertort Opening,A,61,12.08,81.27,0.0,4.0,0.0,1.0,958.0,958.0,-42.0,286.94,-180,2336.0,Expert,Expert,-69.19,1.0,2,kaggle_pgn,True
50,2613,2742,0-1,61,1.0,1.0,kingside,kingside,26.0,resignation,A34,"English Opening: Symmetrical Variation, Normal Variation",A,122,332.88,26.21,3.0,2.0,9.0,1.0,-4764.0,72.0,-10602.0,1106.9,-129,2678.0,Master,Master,306.67,0.0,0,kaggle_pgn,True
51,2269,2106,0-1,28,1.0,1.0,kingside,kingside,21.0,resignation,D20,"Queen's Gambit Accepted: Central Variation, Alekhine System",D,56,27.11,16.25,1.0,0.0,2.0,0.0,-377.0,62.0,-377.0,137.58,163,2188.0,Expert,Expert,10.86,0.0,0,kaggle_pgn,True
52,2485,2293,1/2-1/2,25,1.0,1.0,kingside,kingside,6.0,draw,E60,Indian Defense: West Indian Defense,E,51,16.08,17.08,0.0,0.0,1.0,0.0,34.0,75.0,-24.0,24.06,192,2389.0,Expert,Expert,-1.0,,1,kaggle_pgn,True
53,2700,2753,0-1,31,1.0,1.0,kingside,kingside,9.0,resignation,A00,Hungarian Opening,A,62,57.24,13.21,2.0,0.0,1.0,0.0,-813.0,16.0,-813.0,163.24,-53,2726.0,Master,Master,44.03,0.0,0,kaggle_pgn,True
54,1962,2057,0-1,35,1.0,1.0,queenside,kingside,15.0,resignation,B70,Sicilian Defense: Dragon Variation,B,70,137.5,62.25,6.0,3.0,1.0,2.0,-2562.0,64.0,-2562.0,637.04,-95,2010.0,Advanced,Expert,75.25,0.0,0,kaggle_pgn,True
55,2360,1924,1-0,57,1.0,1.0,queenside,kingside,27.0,resignation,B70,Sicilian Defense: Dragon Variation,B,115,41.82,381.14,1.0,5.0,1.0,2.0,5980.0,10295.0,-528.0,1412.5,436,2142.0,Expert,Advanced,-339.32,1.0,2,kaggle_pgn,True
56,2311,2352,1-0,32,1.0,1.0,kingside,kingside,15.0,resignation,A46,Indian Defense: Spielmann-Indian,A,65,264.73,206.2,2.0,7.0,0.0,1.0,2259.0,5205.0,-10.0,852.34,-41,2332.0,Expert,Expert,58.53,1.0,2,kaggle_pgn,True
57,2453,2268,1-0,61,1.0,0.0,queenside,none,27.0,resignation,B90,Sicilian Defense: Najdorf Variation,B,123,32.94,130.03,3.0,3.0,1.0,6.0,5411.0,5411.0,-62.0,622.69,185,2360.0,Expert,Expert,-97.09,1.0,2,kaggle_pgn,True
58,2232,2344,1-0,44,1.0,1.0,kingside,kingside,17.0,resignation,C05,"French Defense: Tarrasch Variation, Closed Variation",C,89,24.21,29.35,0.0,0.0,4.0,5.0,301.0,307.0,-29.0,84.58,-112,2288.0,Expert,Expert,-5.14,1.0,2,kaggle_pgn,True
59,2271,2211,1-0,38,1.0,1.0,kingside,kingside,19.0,resignation,A00,Van Geet Opening,A,77,26.87,83.67,1.0,3.0,1.0,3.0,444.0,660.0,-46.0,152.63,60,2241.0,Expert,Expert,-56.8,1.0,2,kaggle_pgn,True
60,2353,2327,1-0,25,1.0,1.0,kingside,kingside,13.0,resignation,A05,Zukertort Opening,A,50,15.0,29.67,0.0,1.0,0.0,1.0,134.0,134.0,-51.0,35.33,26,2340.0,Expert,Expert,-14.67,1.0,2,kaggle_pgn,True
61,1629,1895,1/2-1/2,53,1.0,1.0,queenside,kingside,27.0,draw,C01,French Defense: Exchange Variation,C,106,18.82,410.58,0.0,1.0,2.0,1.0,10289.0,10289.0,-49.0,993.49,-266,1762.0,Advanced,Advanced,-391.76,,1,kaggle_pgn,True
62,1902,2145,1/2-1/2,20,1.0,1.0,kingside,kingside,6.0,draw,B22,"Sicilian Defense: Alapin Variation, Smith-Morra Declined",B,40,7.11,15.33,0.0,0.0,0.0,0.0,36.0,64.0,15.0,12.45,-243,2024.0,Advanced,Expert,-8.22,,1,kaggle_pgn,True
63,2248,2512,0-1,45,1.0,1.0,kingside,kingside,21.0,resignation,A04,Zukertort Opening: Pirc Invitation,A,90,240.42,15.83,4.0,0.0,1.0,0.0,-1473.0,74.0,-5320.0,616.99,-264,2380.0,Expert,Master,224.59,0.0,0,kaggle_pgn,True
64,2359,2064,1/2-1/2,65,1.0,1.0,kingside,kingside,19.0,draw,E60,King's Indian Defense: Fianchetto Variation,E,130,21.67,22.4,0.0,0.0,4.0,3.0,18.0,89.0,-93.0,34.76,295,2212.0,Expert,Expert,-0.73,,1,kaggle_pgn,True
65,2368,2248,1-0,44,1.0,1.0,kingside,queenside,20.0,resignation,B05,"Alekhine Defense: Modern Variation, Main Line",B,89,23.67,225.5,1.0,3.0,1.0,5.0,6060.0,6060.0,-33.0,885.23,120,2308.0,Expert,Expert,-201.83,1.0,2,kaggle_pgn,True
66,2056,2265,1/2-1/2,22,1.0,1.0,kingside,kingside,10.0,draw,B42,"Sicilian Defense: Kan Variation, Modern Variation",B,45,19.55,20.62,0.0,0.0,1.0,1.0,-8.0,114.0,-22.0,21.39,-209,2160.0,Expert,Expert,-1.07,,1,kaggle_pgn,True
67,2241,1776,1/2-1/2,36,1.0,1.0,kingside,kingside,18.0,draw,A01,Nimzo-Larsen Attack: Modern Variation,A,73,11.35,12.83,0.0,0.0,0.0,0.0,0.0,81.0,-27.0,21.27,465,2008.0,Expert,Advanced,-1.48,,1,kaggle_pgn,True
68,1827,1540,1-0,19,1.0,1.0,kingside,queenside,9.0,resignation,B40,Sicilian Defense: French Variation,B,39,21.67,88.6,0.0,2.0,0.0,2.0,806.0,810.0,-10.0,306.07,287,1684.0,Advanced,Advanced,-66.93,1.0,2,kaggle_pgn,True
69,2466,2233,1/2-1/2,28,1.0,1.0,kingside,kingside,13.0,draw,A00,Hungarian Opening: Sicilian Invitation,A,56,17.92,13.06,0.0,0.0,2.0,1.0,-54.0,93.0,-69.0,28.46,233,2350.0,Expert,Expert,4.86,,1,kaggle_pgn,True
70,2516,2706,0-1,40,0.0,0.0,none,none,21.0,resignation,D37,Queen's Gambit Declined: Three Knights Variation,D,80,30.5,25.0,0.0,0.0,6.0,0.0,-322.0,49.0,-333.0,104.08,-190,2611.0,Master,Master,5.5,0.0,0,kaggle_pgn,True
71,2152,2255,0-1,76,1.0,1.0,kingside,kingside,23.0,resignation,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation",B,152,36.62,36.16,3.0,2.0,4.0,4.0,-557.0,269.0,-620.0,182.01,-103,2204.0,Expert,Expert,0.46,0.0,0,kaggle_pgn,True
72,2706,2713,1-0,26,1.0,1.0,kingside,queenside,13.0,resignation,C45,Scotch Game: Schmidt Variation,C,53,28.2,144.88,0.0,5.0,3.0,1.0,2037.0,2151.0,-43.0,540.43,-7,2710.0,Master,Master,-116.68,1.0,2,kaggle_pgn,True
73,2103,1870,1-0,64,1.0,1.0,kingside,kingside,19.0,resignation,C50,Italian Game: Hungarian Defense,C,129,53.74,35.86,4.0,2.0,0.0,5.0,492.0,581.0,-110.0,202.8,233,1986.0,Expert,Advanced,17.88,1.0,2,kaggle_pgn,True
74,2391,2431,1/2-1/2,40,1.0,1.0,queenside,queenside,25.0,draw,C00,French Defense: King's Indian Attack,C,81,17.12,29.25,0.0,1.0,2.0,1.0,0.0,313.0,-56.0,41.64,-40,2411.0,Expert,Expert,-12.13,,1,kaggle_pgn,True
75,2380,2192,1-0,31,1.0,0.0,queenside,none,15.0,resignation,A45,Queen's Pawn Game: Chigorin Variation,A,63,18.0,56.69,0.0,3.0,1.0,3.0,778.0,778.0,-18.0,192.52,188,2286.0,Expert,Expert,-38.69,1.0,2,kaggle_pgn,True
76,2051,2185,0-1,40,1.0,1.0,kingside,kingside,22.0,resignation,E01,Catalan Opening: Closed,E,81,74.48,86.88,7.0,3.0,1.0,2.0,-347.0,51.0,-905.0,225.57,-134,2118.0,Expert,Expert,-12.4,0.0,0,kaggle_pgn,True
77,1945,2171,0-1,48,1.0,1.0,kingside,kingside,20.0,resignation,D02,Queen's Pawn Game: Symmetrical Variation,D,96,69.83,18.55,4.0,0.0,3.0,0.0,-1708.0,57.0,-1708.0,334.92,-226,2058.0,Advanced,Expert,51.28,0.0,0,kaggle_pgn,True
78,2270,2152,1/2-1/2,29,1.0,1.0,kingside,kingside,4.0,draw,A56,Benoni Defense: Czech Benoni Defense,A,59,23.29,16.62,0.0,0.0,3.0,1.0,0.0,112.0,-16.0,31.98,118,2211.0,Expert,Expert,6.67,,1,kaggle_pgn,True
79,2460,2329,1/2-1/2,61,1.0,1.0,queenside,queenside,18.0,draw,B56,Sicilian Defense: Classical Variation,B,123,49.0,44.42,3.0,3.0,3.0,3.0,0.0,396.0,0.0,146.52,131,2394.0,Expert,Expert,4.58,,1,kaggle_pgn,True
80,2443,2407,1-0,61,1.0,1.0,kingside,kingside,22.0,resignation,A43,Indian Defense: Pseudo-Benko,A,123,468.08,440.49,8.0,10.0,3.0,6.0,5110.0,11758.0,0.0,2244.03,36,2425.0,Expert,Expert,27.59,1.0,2,kaggle_pgn,True
81,2548,2475,1-0,35,1.0,1.0,kingside,kingside,19.0,resignation,D20,"Queen's Gambit Accepted: Central Variation, Alekhine System",D,71,26.56,140.89,1.0,4.0,0.0,1.0,2085.0,2247.0,-6.0,372.79,73,2512.0,Master,Expert,-114.33,1.0,2,kaggle_pgn,True
82,2172,1880,1-0,37,1.0,1.0,kingside,kingside,11.0,resignation,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B,75,28.31,119.68,1.0,3.0,1.0,2.0,1418.0,1918.0,-24.0,338.09,292,2026.0,Expert,Advanced,-91.37,1.0,2,kaggle_pgn,True
83,2484,2507,1-0,25,0.0,1.0,none,kingside,11.0,resignation,E46,Nimzo-Indian Defense: Reshevsky Variation,E,50,29.56,103.79,0.0,4.0,1.0,1.0,1231.0,1231.0,-41.0,206.12,-23,2496.0,Expert,Master,-74.23,1.0,2,kaggle_pgn,True
84,2119,2199,1/2-1/2,25,1.0,1.0,kingside,kingside,4.0,draw,E60,"King's Indian Defense: Normal Variation, King's Knight Variation",E,51,16.33,18.25,0.0,0.0,1.0,0.0,19.0,64.0,-46.0,21.07,-80,2159.0,Expert,Expert,-1.92,,1,kaggle_pgn,True
85,2583,2461,1/2-1/2,67,1.0,1.0,kingside,queenside,22.0,draw,A07,King's Indian Attack,A,135,21.24,20.0,2.0,1.0,1.0,2.0,-26.0,49.0,-209.0,51.1,122,2522.0,Master,Expert,1.24,,1,kaggle_pgn,True
86,2531,2552,0-1,50,1.0,1.0,kingside,kingside,17.0,resignation,C84,Ruy Lopez: Closed,C,100,194.69,24.43,4.0,0.0,2.0,2.0,-2316.0,44.0,-5287.0,586.86,-21,2542.0,Master,Master,170.26,0.0,0,kaggle_pgn,True
87,2291,2459,0-1,41,0.0,0.0,none,none,21.0,resignation,A40,Queen's Pawn Game,A,82,51.5,34.5,4.0,1.0,3.0,1.0,-535.0,58.0,-586.0,200.8,-168,2375.0,Expert,Expert,17.0,0.0,0,kaggle_pgn,True
88,2171,2040,1-0,60,1.0,1.0,kingside,kingside,27.0,resignation,B00,Owen Defense,B,120,52.26,313.66,5.0,6.0,2.0,4.0,4922.0,10297.0,-63.0,2387.42,131,2106.0,Expert,Expert,-261.4,1.0,2,kaggle_pgn,True
89,1962,2061,1-0,93,1.0,0.0,queenside,none,27.0,resignation,A04,Zukertort Opening: Sicilian Invitation,A,186,24.89,132.0,3.0,6.0,3.0,2.0,4445.0,9808.0,-229.0,857.54,-99,2012.0,Advanced,Expert,-107.11,1.0,2,kaggle_pgn,True
90,2183,1931,1/2-1/2,26,1.0,1.0,kingside,kingside,14.0,draw,A45,Indian Defense,A,52,17.07,6.14,0.0,0.0,1.0,0.0,-133.0,31.0,-144.0,39.29,252,2057.0,Expert,Advanced,10.93,,1,kaggle_pgn,True
91,2250,2680,0-1,30,1.0,1.0,kingside,kingside,10.0,resignation,A15,English Opening: Anglo-Indian Defense,A,60,51.05,16.44,2.0,0.0,3.0,0.0,-806.0,34.0,-806.0,157.79,-430,2465.0,Expert,Master,34.61,0.0,0,kaggle_pgn,True
92,2645,2522,1/2-1/2,19,1.0,1.0,queenside,queenside,5.0,draw,C45,Scotch Game,C,39,12.0,8.57,0.0,0.0,0.0,0.0,-29.0,44.0,-29.0,20.44,123,2584.0,Master,Master,3.43,,1,kaggle_pgn,True
93,1766,2053,0-1,50,1.0,0.0,kingside,none,21.0,resignation,B01,"Scandinavian Defense: Main Line, Mieses Variation",B,100,82.47,93.92,6.0,2.0,9.0,0.0,-973.0,148.0,-1422.0,343.3,-287,1910.0,Advanced,Expert,-11.45,0.0,0,kaggle_pgn,True
94,1890,2498,0-1,20,0.0,1.0,none,kingside,11.0,resignation,D00,Queen's Pawn Game: Accelerated London System,D,40,31.67,17.57,1.0,0.0,1.0,0.0,-293.0,32.0,-341.0,99.84,-608,2194.0,Advanced,Expert,14.1,0.0,0,kaggle_pgn,True
95,2220,2122,1-0,59,1.0,1.0,kingside,kingside,20.0,resignation,C02,"French Defense: Advance Variation, Euwe Variation",C,119,27.17,379.25,1.0,3.0,1.0,4.0,491.0,11551.0,-11.0,1469.61,98,2171.0,Expert,Expert,-352.08,1.0,2,kaggle_pgn,True
96,2668,2390,1-0,23,1.0,1.0,kingside,kingside,9.0,resignation,A46,"Torre Attack: Classical Defense, Nimzowitsch Variation",A,47,87.1,132.92,3.0,3.0,0.0,2.0,702.0,1542.0,-24.0,446.99,278,2529.0,Master,Expert,-45.82,1.0,2,kaggle_pgn,True
