game_id,rated,turns,victory_status,winner,time_increment,white_id,white_rating,black_id,black_rating,moves,opening_code,opening_moves,opening_fullname,opening_shortname,opening_response,opening_variation
16,FALSE,43,Resign,Black,15+15,sureka_akshat,1141,shivangithegenius,1094,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 Qe7 O-O Nxe4 Nxe4 h6 Re1 Qh4 g3 Qd8 Nec3 Bc5 Kh1 O-O f4 d6 fxe5 dxe5 Rf1 Qd7 Nd5 b6 Qh5 Nd8 g4 Bb7 g5 Bxd5+ Bxd5 Qxd5+ Rf3 hxg5 Qxg5 Qxf3+ Qg2 Qd1+ Qf1,C57,7,Italian Game: Two Knights Defense |  Knight Attack,Italian Game,,Two Knights Defense
17,FALSE,52,Resign,Black,15+15,shivangithegenius,1094,sureka_akshat,1141,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bc5 O-O O-O Ne1 d6 d3 Ne8 Qf3 Nd4 Qg3 Bb4 Bh6 g6 Bxf8 Bxc3 Qe3 Kxf8 bxc3 Nc6 Qf3 Nf6 Rd1 Bg4 Qg3 Bxd1 h3 Be2 Nf3 Nh5 Qg4 Bxf1 Kxf1 Nf6 Ng5 Nxg4 Nxf7 Nh2+ Kg1 Qh4 Kxh2 Qxf2 Be6 Nd8 Nxd8 Rxd8,C50,8,Four Knights Game: Italian Variation,Four Knights Game,,Italian Variation
18,FALSE,66,Mate,Black,15+16,sureka_akshat,1141,shivangithegenius,1094,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bc5 O-O O-O Ne1 Ne8 Qf3 Qg5 d4 Qg6 dxc5 Nd4 Qd1 d6 g3 Bh3 Nf3 Bxf1 Qxf1 Nxf3+ Kg2 Nh4+ Kh1 Nf3 Nd5 Qe6 Nxc7 Qc8 Nxa8 Qxa8 cxd6 Nxd6 Be2 Nd4 Bd3 Qc8 c3 Ne6 Qe1 Nc4 Bxc4 Qxc4 b3 Qc6 Ba3 Rd8 Be7 Rd7 Ba3 Ng5 Qd2 Rxd2 Kg2 Qxe4+ Kf1 Qe2+ Kg2 Qxf2+ Kh1 Qxh2#,C50,8,Four Knights Game: Italian Variation,Four Knights Game,,Italian Variation
19,FALSE,101,Resign,Black,15+15,shivangithegenius,1094,slam_ment,1300,e4 e5 Nf3 d6 Bc4 Be6 d3 Bxc4 dxc4 c5 O-O h6 Nc3 Nf6 Nd5 Nxe4 Re1 Nf6 Nxf6+ Qxf6 Qd5 Nd7 Qxb7 Rb8 Qxa7 Be7 Bd2 Qf5 c3 Qc2 Rab1 O-O Rec1 Qd3 b4 Rfd8 bxc5 dxc5 Rxb8 Rxb8 Rd1 Rb1 Qa8+ Bf8 Qa4 Rxd1+ Qxd1 e4 Ne1 Qd6 h3 Qe5 a4 Bd6 f4 Qf5 Be3 Bxf4 Bxf4 Qxf4 Qxd7 Qe3+ Kh2 Qxe1 Qe8+ Kh7 Qxf7 e3 Qf5+ Kg8 Qd5+ Kh7 Qxc5 e2 Qf5+ Kg8 Qe6+ Kh7 Qe4+ Kg8 a5 Qd1 Qa8+ Kh7 Qe4+ Kg8 Qd5+ Qxd5 cxd5 e1=Q a6 Qa1 d6 Qxa6 d7 Qa8 c4 Qd8 c5 Qxd7 c6,C41,5,Philidor Defense #3,Philidor Defense,,#3
20,FALSE,25,Resign,White,11+0,g-ios,1500,shivangithegenius,1094,d4 d5 h3 Nc6 Nf3 Nf6 Bg5 h6 Bxf6 exf6 e3 Bb4+ c3 Bd6 Bb5 Bd7 O-O a6 Ba4 b5 Bb3 Na5 Bxd5 Nc4 Bxa8,D00,2,Queen's Pawn Game,Queen's Pawn Game,,
21,FALSE,14,Resign,Black,15+15,shivangithegenius,1094,lex_v1,1676,e4 e5 Nf3 Nc6 Bc4 h6 O-O Bc5 d3 Nf6 Nc3 Ng4 h3 Nxf2,C55,6,Italian Game: Anti-Fried Liver Defense,Italian Game,,Anti-Fried Liver Defense
22,FALSE,3,Resign,White,30+60,shivangithegenius,1094,themannichreaction,1068,d4 e6 Nc3,A40,2,Horwitz Defense,Horwitz Defense,,
23,FALSE,17,Resign,White,15+5,storm28rus,1500,shivangithegenius,1094,e4 c5 Bc4 Nf6 Nc3 d6 Nf3 g6 Ng5 e6 d3 Bg7 O-O Bh6 Nxe6 fxe6 Bxh6,B20,3,Sicilian Defense: Bowdler Attack,Sicilian Defense,,Bowdler Attack
24,TRUE,36,Resign,White,10+0,robotsmoke,1307,shivangithegenius,1106,c4 Nc6 Nc3 e5 g3 Bc5 Bg2 Nge7 e3 b6 a3 Bb7 b4 Bd6 Nb5 O-O Nxd6 cxd6 Ne2 Nf5 Nc3 d5 Nxd5 Nce7 Nxe7+ Qxe7 Bxb7 Qe8 O-O Rb8 Bg2 Rc8 d3 e4 Bxe4 Nxe3,A25,4,English Opening: King's English Variation |  Reversed Closed Sicilian,English Opening,,King's English Variation
25,TRUE,13,Resign,Black,10+0,shivangithegenius,1113,ivangonzalez123,1423,e4 c5 d4 cxd4 Qxd4 Nc6 Qa4 e5 Be3 Nf6 Nf3 h6 Nc3,B21,3,Sicilian Defense: Smith-Morra Gambit #2,Sicilian Defense,,Smith-Morra Gambit #2
26,TRUE,69,Mate,White,10+10,shivangithegenius,1078,sureka_akshat,1219,d4 d5 Nc3 Nf6 Bf4 Bf5 Nf3 e6 e3 Be7 Bb5+ c6 Bd3 Bxd3 Qxd3 O-O Bg5 Ng4 Bxe7 Qxe7 O-O Qg5 h3 Qf6 hxg4 Qh6 Na4 b5 Nc5 Kh8 Nb7 g6 Nd6 Na6 Ne5 Kg8 Ndxf7 Rxf7 Nxf7 Kxf7 f4 g5 fxg5+ Kg7 gxh6+ Kxh6 Rf6+ Kg7 g5 h6 Qg6+ Kh8 Qxh6+ Kg8 Rxe6 Kf7 Qf6+ Kg8 Re8+ Rxe8 Qg6+ Kf8 Qh6+ Kg8 g6 Nb4 Rf1 Nxc2 Qh7#,D01,4,Queen's Pawn Game: Chigorin Variation,Queen's Pawn Game,,Chigorin Variation
27,TRUE,43,Resign,White,10+10,gmcarlsen403,1825,shivangithegenius,1079,e4 e5 Nf3 Nc6 d4 exd4 Bc4 Bc5 c3 dxc3 Bxf7+ Kxf7 Qd5+ Ke8 Qxc5 Qe7 Qxe7+ Ncxe7 Nxc3 d6 O-O Bg4 Nd4 Nf6 f3 Bh5 Bg5 h6 Bxf6 gxf6 Ne6 Bf7 Nxc7+ Kd7 Nxa8 Rxa8 Rfd1 Bc4 b3 Ba6 Nd5 Nxd5 Rxd5,C45,8,Scotch Game: Haxo Gambit,Scotch Game,,Haxo Gambit
28,TRUE,54,Mate,Black,10+10,mannat1,1328,shivangithegenius,1038,d4 d5 Nc3 Nf6 Nf3 Nc6 e3 Bf5 h4 e6 g3 Bb4 a3 Bxc3+ bxc3 Ne4 Rh2 Nxc3 Qd2 Ne4 Qe2 Nc3 Qd2 Ne4 Qd3 Ng5 Qb5 Nxf3+ Kd1 Nxh2 Bd3 Bg4+ Kd2 Nf3+ Kc3 a6 Qxb7 Qb8 Qxc6+ Kd8 Bxa6 e5 Bb5 exd4+ Kb3 dxe3 Qd7+ Bxd7 Kb4 Qxb5+ Kc3 Qc4+ Kb2 Rb8#,D01,4,Queen's Pawn Game: Chigorin Variation,Queen's Pawn Game,,Chigorin Variation
29,TRUE,53,Resign,Black,10+10,shivangithegenius,1056,biyanivedant01,1156,d4 d5 c4 c6 e3 dxc4 Bxc4 Nf6 Nc3 e6 e4 e5 d5 cxd5 exd5 Bd6 Bg5 O-O Bxf6 Qxf6 Nf3 Bc5 O-O Qg6 Nxe5 Qg5 Nf3 Qh6 Nb5 Na6 d6 Rd8 Qd5 Bxd6 Qxf7+ Kh8 Nxd6 Qxd6 Rfd1 Qf8 Rxd8 Qxd8 h3 Bf5 Qxf5 Qf8 Qd5 Nc7 Qxb7 Qb8 Qd5 Nxd5 Bxd5,D10,4,Slav Defense,Slav Defense,,
30,TRUE,66,Mate,Black,10+10,shivangithegenius,1077,chinmaysharma,1148,d4 d5 c4 Nf6 Nc3 Nc6 Nf3 e6 e3 Bd6 Bd3 Ne4 Bxe4 dxe4 Ne5 f5 Nxc6 bxc6 Qh5+ g6 Qd1 O-O O-O Bb4 a3 Bxc3 bxc3 Qe7 h3 c5 d5 exd5 cxd5 Ba6 a4 Bxf1 Qxf1 a5 Ba3 Qe5 Qd1 f4 exf4 Qxf4 Bxc5 Rf7 d6 cxd6 Bb6 Rb8 Ba7 Rxa7 Qd5+ Kg7 Qd4+ Kf8 Qxa7 Re8 Qxa5 e3 Rf1 exf2+ Rxf2 Re1+ Rf1 Rxf1#,D06,4,Queen's Gambit Refused: Marshall Defense,Queen's Gambit,Refused,Marshall Defense
31,TRUE,64,Resign,Black,10+10,biyanivedant01,1358,shivangithegenius,1036,e4 c5 d4 cxd4 Qxd4 Nc6 Qa4 Nf6 Nc3 g6 Nf3 Bg7 Bb5 O-O O-O a6 Bg5 axb5 Qxa8 d5 Rab1 dxe4 Rbd1 Qa5 Qxa5 Nxa5 Nxb5 exf3 gxf3 Nc4 Na7 Nxb2 Rb1 Nc4 Rb4 Nd2 Rd1 Nxf3+ Kf1 Nxh2+ Kg1 Nf3+ Kg2 Nxg5 Rbd4 Bh3+ Kg3 Nge4+ Kxh3 Nxf2+ Kg2 Nxd1 Rxd1 Ne4 Rd4 Nc3 Rb4 Nxa2 Rxb7 Nc3 Rxe7 Nd5 Rc7 Nxc7,B21,3,Sicilian Defense: Smith-Morra Gambit #2,Sicilian Defense,,Smith-Morra Gambit #2
32,TRUE,64,Mate,Black,10+10,rv0209,1200,shivangithegenius,1002,e4 c5 Nf3 d6 Bb5+ Bd7 Bxd7+ Nxd7 O-O Ngf6 Nc3 g6 d3 Bg7 Bg5 O-O Nd5 Nxd5 exd5 Bxb2 Bh6 Bg7 Bxg7 Kxg7 Ng5 Kg8 d4 c4 c3 e5 Re1 Qxg5 Qa4 Rfd8 Qa3 exd4 cxd4 Qxd5 Rad1 Re8 Re3 Rxe3 fxe3 b6 Re1 Nf6 Qc3 Ne4 Qb4 c3 Rc1 Rc8 Qa4 a5 Qd7 Rf8 Qa7 Qxa2 Qxb6 Qf2+ Kh1 Qd2 Rg1 Nf2#,B52,6,Sicilian Defense: Canal Attack |  Main Line,Sicilian Defense,,Canal Attack
33,TRUE,54,Resign,White,10+10,vihaandumir,1203,shivangithegenius,1019,e4 c5 Nf3 d5 exd5 Qxd5 Nc3 Qe6+ Qe2 Qxe2+ Bxe2 Nf6 O-O g6 d3 Bg7 Nb5 Na6 Bf4 O-O d4 Bd7 dxc5 Bxb5 Bxb5 Nxc5 Be3 Ne6 Nd4 a6 Bd3 Nxd4 Bxd4 Rad8 Bb6 Rd6 Bc5 Rd7 Rfe1 Re8 c3 Nd5 Bc2 Rc7 Ba3 b5 Rad1 Rd7 c4 e6 cxd5 exd5 Rxe8+ Bf8,B27,3,Sicilian Defense,Sicilian Defense,,
34,FALSE,21,Resign,Black,15+3,shivangithegenius,1019,shamlanaseer,1500,d4 d5 c4 dxc4 e4 b5 Na3 a6 Qf3 f6 e5 fxe5 Qxa8 Nd7 dxe5 Nxe5 Qf3 Qd4 Qh5+ g6 Qd1,D20,6,Queen's Gambit Accepted: Central Variation |  Greco Variation,Queen's Gambit,Accepted,Central Variation
35,FALSE,11,Resign,White,18+0,medovich,1422,shivangithegenius,975,e4 c5 Bc4 Nf6 d3 d6 Nf3 g6 Ng5 Bg7 Nxf7,B20,3,Sicilian Defense: Bowdler Attack,Sicilian Defense,,Bowdler Attack
36,TRUE,19,Resign,Black,10+0,shivangithegenius,976,sorethea,1832,d4 g6 e4 Bg7 Bf4 e6 Bc4 Ne7 Nf3 h6 Ne5 O-O Qg4 d5 exd5 exd5 Bd3 Bxg4 Bxg6,B06,4,Robatsch (Modern) Defense,Robatsch (Modern) Defense,,
37,TRUE,28,Resign,White,10+0,rico21,1569,shivangithegenius,978,d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 Bf5 Bd3 Bxd3 Qxd3 Nc6 O-O Nb4 Qf5 Nc6 d5 Nxd5 Nxd5 e6 Qf4 exd5 Nd4 Ne7 Qxf7+ Kd7,D00,10,Blackmar-Diemer Gambit: Tartakower Variation,Blackmar-Diemer Gambit,,Tartakower Variation
38,FALSE,22,Resign,Black,15+0,shivangithegenius,978,jojo58,1500,d4 Nf6 Nc3 d6 d5 g6 e4 Bg7 Nf3 O-O Ng5 a6 Qf3 c6 Qg3 b5 Qh4 h6 Nf3 g5 Qxg5 hxg5,A45,2,Indian Game,Indian Game,,
39,FALSE,37,Resign,White,15+0,jojo58,1500,shivangithegenius,978,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 Bc4 O-O f3 Nc6 Qd2 a6 O-O-O b5 Bb3 Na5 Kb1 Nxb3 cxb3 d5 Nc6 Qd7 exd5 Nxd5 Qxd5 Qf5+ Qxf5 Bxf5+ Ka1 Rac8 Nxe7+,B77,17,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,Sicilian Defense,,Dragon Variation
40,FALSE,34,Resign,White,30+30,rajuppi,2449,shivangithegenius,978,c4 e5 Nc3 Bc5 g3 Nc6 Bg2 Nf6 Nf3 b6 Nxe5 Bb7 Nd3 Bd4 O-O Bxc3 dxc3 O-O Nb4 Re8 Nxc6 Bxc6 Bxc6 dxc6 Be3 Ng4 Qxd8 Raxd8 Rad1 Nxe3 fxe3 Rxd1 Rxd1 Rxe3,A21,3,English Opening: King's English Variation |  Reversed Sicilian,English Opening,,King's English Variation
41,FALSE,32,Draw,Draw,20+25,white_queen_1990,1207,shivangithegenius,978,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Bg5 Bg7 Bxf6 Bxf6 Bb5+ Bd7 Bxd7+ Nxd7 O-O Bxd4 Qxd4 O-O f3 Qb6 Qxb6 Nxb6 Nd5 Nxd5 exd5 Rac8 c3 Rc5,B70,10,Sicilian Defense: Dragon Variation,Sicilian Defense,,Dragon Variation
42,FALSE,71,Resign,Black,5+5,milestretch,1241,shivangithegenius,978,e4 c5 Nc3 d6 Bc4 Nf6 Qe2 g6 e5 dxe5 Qxe5 Qd4 Bb5+ Bd7 Bxd7+ Nbxd7 f4 Nxe5 fxe5 Qxe5+ Nge2 Ne4 Nxe4 Qxe4 O-O Qxc2 Nf4 Bh6 Nd5 Rc8 b4 Bxd2 b5 Bxc1 Raxc1 Qxa2 b6 Qxd5 bxa7 Qd4+ Kh1 e5 Ra1 O-O Rfb1 Qd7 g3 Qc6+ Kg1 c4 Re1 Qc5+ Kf1 Ra8 Reb1 Rxa7 Rxa7 Qxa7 Rd1 Qa4 Rd5 c3 Ke1 c2 Kd2 Qb3 Rxe5 Qb2 Re1 c1=Q+ Kd3,B23,3,Sicilian Defense: Closed Variation,Sicilian Defense,,Closed Variation
43,FALSE,30,Resign,White,30+0,stephen789,1500,shivangithegenius,978,e4 c5 d4 cxd4 Qxd4 Nc6 Qa4 Nf6 Nf3 g6 Bg5 Qa5+ Qxa5 Nxa5 Nbd2 Bg7 Bxf6 Bxf6 O-O-O e6 e5 Bg5 Bd3 Bxd2+ Nxd2 O-O h4 h6 Nf3 f6,B21,3,Sicilian Defense: Smith-Morra Gambit #2,Sicilian Defense,,Smith-Morra Gambit #2
44,FALSE,66,Resign,White,40+40,rajuppi,2443,shivangithegenius,978,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 O-O-O d5 exd5 Nxd5 Nxc6 bxc6 Nxd5 cxd5 Qxd5 Qc7 Qc5 Qb7 b3 Bf5 Bd3 Rac8 Qa3 Bxd3 Rxd3 Qc7 c4 Qe5 Kc2 Rfd8 Rhd1 Rxd3 Rxd3 Rc6 Rd8+ Bf8 Qxa7 Rd6 Rxd6 exd6 Qd4 Qf5+ Qd3 Qf6 Bd4 Qf5 Qxf5 gxf5 a4 Bg7 Bxg7 Kxg7 a5 f4 a6 Kf8,B76,17,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,Sicilian Defense,,Dragon Variation
45,FALSE,41,Resign,White,20+0,hmbrgr,1500,shivangithegenius,978,e4 c5 d4 cxd4 Qxd4 Nc6 Qe3 Nf6 e5 Qa5+ c3 Nxe5 f4 Neg4 Qf3 Ne5 fxe5 Qxe5+ Be2 d5 Bf4 Qe4 Nd2 Qxf3 Ndxf3 Bg4 Rd1 Bxf3 Bxf3 e6 c4 dxc4 Ne2 Bb4+ Nc3 Rd8 O-O Rd3 Rxd3 cxd3 Rd1,B21,3,Sicilian Defense: Smith-Morra Gambit #2,Sicilian Defense,,Smith-Morra Gambit #2
46,FALSE,49,Resign,White,15+0,jjwrchess,1500,shivangithegenius,978,e4 c5 Bc4 Nc6 Nc3 d6 d3 Nf6 Nge2 g6 O-O Nd4 f4 e5 fxe5 dxe5 Bg5 Bg7 Nd5 Be6 Bxf6 Bxf6 Nxf6+ Ke7 Bxe6 fxe6 c3 Nxe2+ Qxe2 Rf8 Nxh7 Rxf1+ Rxf1 Ke8 Qg4 Ke7 Qxg6 Qxd3 Qf6+ Kd6 Ng5 Qe3+ Kh1 Re8 Nf7+ Kd7 Nxe5+ Kd6 Nc4+,B20,3,Sicilian Defense: Bowdler Attack,Sicilian Defense,,Bowdler Attack
47,FALSE,3,Resign,Black,15+0,shivangithegenius,978,jjwrchess,1500,e4 d5 exd5,B01,2,Scandinavian Defense,Scandinavian Defense,,
48,FALSE,7,Resign,White,10+0,adnanraj,1343,shivangithegenius,978,e4 c5 Bc4 Nf6 e5 Ne4 Nf3,B20,3,Sicilian Defense: Bowdler Attack,Sicilian Defense,,Bowdler Attack
49,FALSE,35,Mate,White,40+40,rajuppi,2436,shivangithegenius,978,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5 Ne8 e6 Rf8 O-O-O Bxd4 Qxd4 Qa5 Nxd5 Rc8 Nxe7#,B77,17,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,Sicilian Defense,,Dragon Variation
